"age","gender_concept_id","care_site_id","value_as_number","frequency"
28,8507,103,109,20
28,8507,103,110,16
28,8507,103,111,13
28,8507,103,113,10
28,8507,103,115,7
28,8507,103,117,5
28,8507,103,119,3
28,8532,101,95,3
28,8532,101,97,5
28,8532,101,99,7
28,8532,101,101,10
28,8532,101,103,13
28,8532,101,104,16
28,8532,101,105,20
28,8532,101,106,16
28,8532,101,107,13
28,8532,101,109,10
28,8532,101,111,7
28,8532,101,113,5
28,8532,101,115,3
28,8532,102,95,4
28,8532,102,97,6
28,8532,102,99,8
28,8532,102,101,11
28,8532,102,103,14
28,8532,102,104,17
28,8532,102,105,21
28,8532,102,106,17
28,8532,102,107,14
28,8532,102,109,11
28,8532,102,111,8
28,8532,102,113,6
28,8532,102,115,4
28,8532,103,96,3
28,8532,103,98,5
28,8532,103,100,7
28,8532,103,102,10
28,8532,103,104,13
28,8532,103,105,16
28,8532,103,106,20
28,8532,103,107,16
28,8532,103,108,13
28,8532,103,110,10
28,8532,103,112,7
28,8532,103,114,5
28,8532,103,116,3
34,8507,101,99,3
34,8507,101,101,5
34,8507,101,103,7
34,8507,101,105,10
34,8507,101,107,13
34,8507,101,108,16
34,8507,101,109,20
34,8507,101,110,16
34,8507,101,111,13
34,8507,101,113,10
34,8507,101,115,7
34,8507,101,117,5
34,8507,101,119,3
34,8507,102,99,4
34,8507,102,101,6
34,8507,102,103,8
34,8507,102,105,11
34,8507,102,107,14
34,8507,102,108,17
34,8507,102,109,21
34,8507,102,110,17
34,8507,102,111,14
34,8507,102,113,11
34,8507,102,115,8
34,8507,102,117,6
34,8507,102,119,4
34,8507,103,100,3
34,8507,103,102,5
34,8507,103,104,7
34,8507,103,106,10
34,8507,103,108,13
34,8507,103,109,16
34,8507,103,110,20
34,8507,103,111,16
34,8507,103,112,13
34,8507,103,114,10
34,8507,103,116,7
34,8507,103,118,5
34,8507,103,120,3
34,8532,101,96,3
34,8532,101,98,5
34,8532,101,100,7
34,8532,101,102,10
34,8532,101,104,13
34,8532,101,105,16
34,8532,101,106,20
34,8532,101,107,16
34,8532,101,108,13
34,8532,101,110,10
34,8532,101,112,7
34,8532,101,114,5
34,8532,101,116,3
34,8532,102,96,4
34,8532,102,98,6
34,8532,102,100,8
34,8532,102,102,11
34,8532,102,104,14
34,8532,102,105,17
34,8532,102,106,21
34,8532,102,107,17
34,8532,102,108,14
34,8532,102,110,11
34,8532,102,112,8
34,8532,102,114,6
34,8532,102,116,4
34,8532,103,97,3
34,8532,103,99,5
34,8532,103,101,7
34,8532,103,103,10
34,8532,103,105,13
34,8532,103,106,16
34,8532,103,107,20
34,8532,103,108,16
34,8532,103,109,13
34,8532,103,111,10
34,8532,103,113,7
34,8532,103,115,5
34,8532,103,117,3
45,8507,101,100,3
45,8507,101,102,5
45,8507,101,104,7
45,8507,101,106,10
45,8507,101,108,13
45,8507,101,109,16
45,8507,101,110,20
45,8507,101,111,16
45,8507,101,112,13
45,8507,101,114,10
45,8507,101,116,7
45,8507,101,118,5
45,8507,101,120,3
45,8507,102,100,4
45,8507,102,102,6
45,8507,102,104,8
45,8507,102,106,11
45,8507,102,108,14
45,8507,102,109,17
45,8507,102,110,21
45,8507,102,111,17
45,8507,102,112,14
45,8507,102,114,11
45,8507,102,116,8
45,8507,102,118,6
45,8507,102,120,4
45,8507,103,101,3
45,8507,103,103,5
45,8507,103,105,7
45,8507,103,107,10
45,8507,103,109,13
45,8507,103,110,16
45,8507,103,111,20
45,8507,103,112,16
45,8507,103,113,13
45,8507,103,115,10
45,8507,103,117,7
45,8507,103,119,5
45,8507,103,121,3
45,8532,101,97,3
45,8532,101,99,5
45,8532,101,101,7
45,8532,101,103,10
45,8532,101,105,13
45,8532,101,106,16
45,8532,101,107,20
45,8532,101,108,16
45,8532,101,109,13
45,8532,101,111,10
45,8532,101,113,7
45,8532,101,115,5
45,8532,101,117,3
45,8532,102,97,4
45,8532,102,99,6
45,8532,102,101,8
45,8532,102,103,11
45,8532,102,105,14
45,8532,102,106,17
45,8532,102,107,21
45,8532,102,108,17
45,8532,102,109,14
45,8532,102,111,11
45,8532,102,113,8
45,8532,102,115,6
45,8532,102,117,4
45,8532,103,98,3
45,8532,103,100,5
45,8532,103,102,7
45,8532,103,104,10
45,8532,103,106,13
45,8532,103,107,16
45,8532,103,108,20
45,8532,103,109,16
45,8532,103,110,13
45,8532,103,112,10
45,8532,103,114,7
45,8532,103,116,5
45,8532,103,118,3
54,8507,101,101,3
54,8507,101,103,5
54,8507,101,105,7
54,8507,101,107,10
54,8507,101,109,13
54,8507,101,110,16
54,8507,101,111,20
54,8507,101,112,16
54,8507,101,113,13
54,8507,101,115,10
54,8507,101,117,7
54,8507,101,119,5
54,8507,101,121,3
54,8507,102,101,4
54,8507,102,103,6
54,8507,102,105,8
54,8507,102,107,11
54,8507,102,109,14
54,8507,102,110,17
54,8507,102,111,21
54,8507,102,112,17
54,8507,102,113,14
54,8507,102,115,11
54,8507,102,117,8
54,8507,102,119,6
54,8507,102,121,4
54,8507,103,102,3
54,8507,103,104,5
54,8507,103,106,7
54,8507,103,108,10
54,8507,103,110,13
54,8507,103,111,16
54,8507,103,112,20
54,8507,103,113,16
54,8507,103,114,13
54,8507,103,116,10
54,8507,103,118,7
54,8507,103,120,5
54,8507,103,122,3
54,8532,101,98,3
54,8532,101,100,5
54,8532,101,102,7
54,8532,101,104,10
54,8532,101,106,13
54,8532,101,107,16
54,8532,101,108,20
54,8532,101,109,16
54,8532,101,110,13
54,8532,101,112,10
54,8532,101,114,7
54,8532,101,116,5
54,8532,101,118,3
54,8532,102,98,4
54,8532,102,100,6
54,8532,102,102,8
54,8532,102,104,11
54,8532,102,106,14
54,8532,102,107,17
54,8532,102,108,21
54,8532,102,109,17
54,8532,102,110,14
54,8532,102,112,11
54,8532,102,114,8
54,8532,102,116,6
54,8532,102,118,4
54,8532,103,99,3
54,8532,103,101,5
54,8532,103,103,7
54,8532,103,105,10
54,8532,103,107,13
54,8532,103,108,16
54,8532,103,109,20
54,8532,103,110,16
54,8532,103,111,13
54,8532,103,113,10
54,8532,103,115,7
54,8532,103,117,5
54,8532,103,119,3
63,8507,101,102,3
63,8507,101,104,5
63,8507,101,106,7
63,8507,101,108,10
63,8507,101,110,13
63,8507,101,111,16
63,8507,101,112,20
63,8507,101,113,16
63,8507,101,114,13
63,8507,101,116,10
63,8507,101,118,7
63,8507,101,120,5
63,8507,101,122,3
63,8507,102,102,4
63,8507,102,104,6
63,8507,102,106,8
63,8507,102,108,11
63,8507,102,110,14
63,8507,102,111,17
63,8507,102,112,21
63,8507,102,113,17
63,8507,102,114,14
63,8507,102,116,11
63,8507,102,118,8
63,8507,102,120,6
63,8507,102,122,4
63,8507,103,103,3
63,8507,103,105,5
63,8507,103,107,7
63,8507,103,109,10
63,8507,103,111,13
63,8507,103,112,16
63,8507,103,113,20
63,8507,103,114,16
63,8507,103,115,13
63,8507,103,117,10
63,8507,103,119,7
63,8507,103,121,5
63,8507,103,123,3
63,8532,101,99,3
63,8532,101,101,5
63,8532,101,103,7
63,8532,101,105,10
63,8532,101,107,13
63,8532,101,108,16
63,8532,101,109,20
63,8532,101,110,16
63,8532,101,111,13
63,8532,101,113,10
63,8532,101,115,7
63,8532,101,117,5
63,8532,101,119,3
63,8532,102,99,4
63,8532,102,101,6
63,8532,102,103,8
63,8532,102,105,11
63,8532,102,107,14
63,8532,102,108,17
63,8532,102,109,21
63,8532,102,110,17
63,8532,102,111,14
63,8532,102,113,11
63,8532,102,115,8
63,8532,102,117,6
63,8532,102,119,4
63,8532,103,100,3
63,8532,103,102,5
63,8532,103,104,7
63,8532,103,106,10
63,8532,103,108,13
63,8532,103,109,16
63,8532,103,110,20
63,8532,103,111,16
63,8532,103,112,13
63,8532,103,114,10
63,8532,103,116,7
63,8532,103,118,5
63,8532,103,120,3
67,8507,101,103,3
67,8507,101,105,5
67,8507,101,107,7
67,8507,101,109,10
67,8507,101,111,13
67,8507,101,112,16
67,8507,101,113,20
67,8507,101,114,16
67,8507,101,115,13
67,8507,101,117,10
67,8507,101,119,7
67,8507,101,121,5
67,8507,101,123,3
67,8507,102,103,4
67,8507,102,105,6
67,8507,102,107,8
67,8507,102,109,11
67,8507,102,111,14
67,8507,102,112,17
67,8507,102,113,21
67,8507,102,114,17
67,8507,102,115,14
67,8507,102,117,11
67,8507,102,119,8
67,8507,102,121,6
67,8507,102,123,4
67,8507,103,104,3
67,8507,103,106,5
67,8507,103,108,7
67,8507,103,110,10
67,8507,103,112,13
67,8507,103,113,16
67,8507,103,114,20
67,8507,103,115,16
67,8507,103,116,13
67,8507,103,118,10
67,8507,103,120,7
67,8507,103,122,5
67,8507,103,124,3
67,8532,101,100,3
67,8532,101,102,5
67,8532,101,104,7
67,8532,101,106,10
67,8532,101,108,13
67,8532,101,109,16
67,8532,101,110,20
67,8532,101,111,16
67,8532,101,112,13
67,8532,101,114,10
67,8532,101,116,7
67,8532,101,118,5
67,8532,101,120,3
67,8532,102,100,4
67,8532,102,102,6
67,8532,102,104,8
67,8532,102,106,11
67,8532,102,108,14
67,8532,102,109,17
67,8532,102,110,21
67,8532,102,111,17
67,8532,102,112,14
67,8532,102,114,11
67,8532,102,116,8
67,8532,102,118,6
67,8532,102,120,4
67,8532,103,101,3
67,8532,103,103,5
67,8532,103,105,7
67,8532,103,107,10
67,8532,103,109,13
67,8532,103,110,16
67,8532,103,111,20
67,8532,103,112,16
67,8532,103,113,13
67,8532,103,115,10
67,8532,103,117,7
67,8532,103,119,5
67,8532,103,121,3
73,8507,101,103,3
73,8507,101,105,5
73,8507,101,107,7
73,8507,101,109,10
73,8507,101,111,13
73,8507,101,112,16
73,8507,101,113,20
73,8507,101,114,16
73,8507,101,115,13
73,8507,101,117,10
73,8507,101,119,7
73,8507,101,121,5
73,8507,101,123,3
73,8507,102,103,4
73,8507,102,105,6
73,8507,102,107,8
73,8507,102,109,11
73,8507,102,111,14
73,8507,102,112,17
73,8507,102,113,21
73,8507,102,114,17
73,8507,102,115,14
73,8507,102,117,11
73,8507,102,119,8
73,8507,102,121,6
73,8507,102,123,4
73,8507,103,104,3
73,8507,103,106,5
73,8507,103,108,7
73,8507,103,110,10
73,8507,103,112,13
73,8507,103,113,16
73,8507,103,114,20
73,8507,103,115,16
73,8507,103,116,13
73,8507,103,118,10
73,8507,103,120,7
73,8507,103,122,5
73,8507,103,124,3
73,8532,101,100,3
73,8532,101,102,5
73,8532,101,104,7
73,8532,101,106,10
73,8532,101,108,13
73,8532,101,109,16
73,8532,101,110,20
73,8532,101,111,16
73,8532,101,112,13
73,8532,101,114,10
73,8532,101,116,7
73,8532,101,118,5
73,8532,101,120,3
73,8532,102,100,4
73,8532,102,102,6
73,8532,102,104,8
73,8532,102,106,11
73,8532,102,108,14
73,8532,102,109,17
73,8532,102,110,21
73,8532,102,111,17
73,8532,102,112,14
73,8532,102,114,11
73,8532,102,116,8
73,8532,102,118,6
73,8532,102,120,4
73,8532,103,101,3
73,8532,103,103,5
73,8532,103,105,7
73,8532,103,107,10
73,8532,103,109,13
73,8532,103,110,16
73,8532,103,111,20
73,8532,103,112,16
73,8532,103,113,13
73,8532,103,115,10
73,8532,103,117,7
73,8532,103,119,5
73,8532,103,121,3
78,8507,101,104,3
78,8507,101,106,5
78,8507,101,108,7
78,8507,101,110,10
78,8507,101,112,13
78,8507,101,113,16
78,8507,101,114,20
78,8507,101,115,16
78,8507,101,116,13
78,8507,101,118,10
78,8507,101,120,7
78,8507,101,122,5
78,8507,101,124,3
78,8507,102,104,4
78,8507,102,106,6
78,8507,102,108,8
78,8507,102,110,11
78,8507,102,112,14
78,8507,102,113,17
78,8507,102,114,21
78,8507,102,115,17
78,8507,102,116,14
78,8507,102,118,11
78,8507,102,120,8
78,8507,102,122,6
78,8507,102,124,4
78,8507,103,105,3
78,8507,103,107,5
78,8507,103,109,7
78,8507,103,111,10
78,8507,103,113,13
78,8507,103,114,16
78,8507,103,115,20
78,8507,103,116,16
78,8507,103,117,13
78,8507,103,119,10
78,8507,103,121,7
78,8507,103,123,5
78,8507,103,125,3
78,8532,101,101,3
78,8532,101,103,5
78,8532,101,105,7
78,8532,101,107,10
78,8532,101,109,13
78,8532,101,110,16
78,8532,101,111,20
78,8532,101,112,16
78,8532,101,113,13
78,8532,101,115,10
78,8532,101,117,7
78,8532,101,119,5
78,8532,101,121,3
78,8532,102,101,4
78,8532,102,103,6
78,8532,102,105,8
78,8532,102,107,11
78,8532,102,109,14
78,8532,102,110,17
78,8532,102,111,21
78,8532,102,112,17
78,8532,102,113,14
78,8532,102,115,11
78,8532,102,117,8
78,8532,102,119,6
78,8532,102,121,4
78,8532,103,102,3
78,8532,103,104,5
78,8532,103,106,7
78,8532,103,108,10
78,8532,103,110,13
78,8532,103,111,16
78,8532,103,112,20
78,8532,103,113,16
78,8532,103,114,13
78,8532,103,116,10
78,8532,103,118,7
78,8532,103,120,5
78,8532,103,122,3
82,8507,101,105,3
82,8507,101,107,5
82,8507,101,109,7
82,8507,101,111,10
82,8507,101,113,13
82,8507,101,114,16
82,8507,101,115,20
82,8507,101,116,16
82,8507,101,117,13
82,8507,101,119,10
82,8507,101,121,7
82,8507,101,123,5
82,8507,101,125,3
82,8507,102,105,4
82,8507,102,107,6
82,8507,102,109,8
82,8507,102,111,11
82,8507,102,113,14
82,8507,102,114,17
82,8507,102,115,21
82,8507,102,116,17
82,8507,102,117,14
82,8507,102,119,11
82,8507,102,121,8
82,8507,102,123,6
82,8507,102,125,4
82,8507,103,106,3
82,8507,103,108,5
82,8507,103,110,7
82,8507,103,112,10
82,8507,103,114,13
82,8507,103,115,16
82,8507,103,116,20
82,8507,103,117,16
82,8507,103,118,13
82,8507,103,120,10
82,8507,103,122,7
82,8507,103,124,5
82,8507,103,126,3
82,8532,101,102,3
82,8532,101,104,5
82,8532,101,106,7
82,8532,101,108,10
82,8532,101,110,13
82,8532,101,111,16
82,8532,101,112,20
82,8532,101,113,16
82,8532,101,114,13
82,8532,101,116,10
82,8532,101,118,7
82,8532,101,120,5
82,8532,101,122,3
82,8532,102,102,4
82,8532,102,104,6
82,8532,102,106,8
82,8532,102,108,11
82,8532,102,110,14
82,8532,102,111,17
82,8532,102,112,21
82,8532,102,113,17
82,8532,102,114,14
82,8532,102,116,11
82,8532,102,118,8
82,8532,102,120,6
82,8532,102,122,4
82,8532,103,103,3
82,8532,103,105,5
82,8532,103,107,7
82,8532,103,109,10
82,8532,103,111,13
82,8532,103,112,16
82,8532,103,113,20
82,8532,103,114,16
82,8532,103,115,13
82,8532,103,117,10
82,8532,103,119,7
82,8532,103,121,5
82,8532,103,123,3
83,8551,201,96,2
83,8551,201,97,2
83,8551,202,98,1
83,8551,202,130,1
88,8507,101,105,3
88,8507,101,107,5
88,8507,101,109,7
88,8507,101,111,10
88,8507,101,113,13
88,8507,101,114,16
88,8507,101,115,20
88,8507,101,116,16
88,8507,101,117,13
88,8507,101,119,10
88,8507,101,121,7
88,8507,101,123,5
88,8507,101,125,3
88,8507,102,105,4
88,8507,102,107,6
88,8507,102,109,8
88,8507,102,111,11
88,8507,102,113,14
88,8507,102,114,17
88,8507,102,115,21
88,8507,102,116,17
88,8507,102,117,14
88,8507,102,119,11
88,8507,102,121,8
88,8507,102,123,6
88,8507,102,125,4
88,8507,103,106,3
88,8507,103,108,5
88,8507,103,110,7
88,8507,103,112,10
88,8507,103,114,13
88,8507,103,115,16
88,8507,103,116,20
88,8507,103,117,16
88,8507,103,118,13
88,8507,103,120,10
88,8507,103,122,7
88,8507,103,124,5
88,8507,103,126,3
88,8532,101,102,3
88,8532,101,104,5
88,8532,101,106,7
88,8532,101,108,10
88,8532,101,110,13
88,8532,101,111,16
88,8532,101,112,20
88,8532,101,113,16
88,8532,101,114,13
88,8532,101,116,10
88,8532,101,118,7
88,8532,101,120,5
88,8532,101,122,3
88,8532,102,35,1
88,8532,102,102,4
88,8532,102,104,6
88,8532,102,106,8
88,8532,102,108,11
88,8532,102,110,14
88,8532,102,111,17
88,8532,102,112,21
88,8532,102,113,17
88,8532,102,114,14
88,8532,102,116,11
88,8532,102,118,8
88,8532,102,120,6
88,8532,102,122,4
88,8532,103,103,3
88,8532,103,105,5
88,8532,103,107,7
88,8532,103,109,10
88,8532,103,111,13
88,8532,103,112,16
88,8532,103,113,20
88,8532,103,114,16
88,8532,103,115,13
88,8532,103,117,10
88,8532,103,119,7
88,8532,103,121,5
88,8532,103,123,3
